2,65,1,0.761905,0,0,0.904762,1,0,0.52381,0,0,0.619048,1,0,0.666667,0
3,63,1,0.761905,0,0.22108,0.904762,1,0.042104,0.52381,0,0.242875,0.619048,1,0.051106,0.666667,0
4,77,1,0.761905,0,0,0.904762,1,0,0.52381,0,0,0.619048,1,0.633066,0.666667,0
6,56,1,0.761905,0,0.215558,0.904762,1,0.060844,0.52381,0,0.207748,0.619048,1,0,0.666667,0
7,47,1,0.761905,0,0.033891,0.904762,1,0,0.52381,0,0,0.619048,1,0,0.666667,0
8,48,1,0.761905,0,0,0.904762,1,0,0.52381,0,0,0.619048,1,0,0.666667,0
9,65,1,0.761905,0,0,0.904762,1,0,0.52381,0,0,0.619048,1,0.245753,0.666667,0
12,46,1,0.761905,0,0.089664,0.904762,1,0.0355885,0.52381,0,0.43306,0.619048,1,0.377459,0.666667,0
13,82,1,0.761905,0,0.084994,0.904762,1,0.0901415,0.52381,0,0.134355,0.619048,1,0.393153,0.666667,0
15,55,1,0.761905,0,0.224,0.904762,1,0.00719999,0.52381,0,0.2912,0.619048,1,0,0.666667,0
16,62,1,0.761905,0,0.129774,0.904762,1,0.0617905,0.52381,0,0.0718705,0.619048,1,0.504391,0.666667,0
17,102,1,0.761905,0,0,0.904762,1,0,0.52381,0,0,0.619048,1,0,0.666667,0
18,62,1,0.761905,0,0.243417,0.904762,1,0.027052,0.52381,0,0.205626,0.619048,1,0.044784,0.666667,0
20,49,1,0.761905,0,0.0156585,0.904762,1,0.0986015,0.52381,0,0.062876,0.619048,1,0.431938,0.666667,0
23,68,1,0.761905,0,0.0952955,0.904762,1,0.109413,0.52381,0,0.283709,0.619048,1,0.018559,0.666667,0
24,61,1,0.761905,0,0.02465,0.904762,1,0.0222,0.52381,0,0,0.619048,1,0,0.666667,0
25,48,1,0.761905,0,0.008254,0.904762,1,0.05292,0.52381,0,0,0.619048,1,0,0.666667,0
186,67,1,0.761905,0,0.012376,0.904762,1,0.036445,0.52381,0,0.01909,0.619048,1,0.013589,0.666667,0
578,58,1,0.761905,0,0.004976,0.904762,1,0.008978,0.52381,0,0.042662,0.619048,1,0.024264,0.666667,0
597,45,1,0.761905,0,0,0.904762,1,0,0.52381,0,0.0425495,0.619048,1,0.397846,0.666667,0
633,60,1,0.761905,0,0.079364,0.904762,1,0.025006,0.52381,0,0.76552,0.619048,1,0.0128415,0.666667,0
28,62,2,0.333333,0,0,0.285714,1,0.052365,0.571429,1,0,0.47619,1,0,0.190476,0
29,52,2,0.333333,0,0,0.285714,1,0,0.571429,1,0,0.47619,1,0,0.190476,0
32,44,2,0.333333,0,0,0.285714,1,0,0.571429,1,0.067806,0.47619,1,0,0.190476,0
35,45,2,0.333333,0,0,0.285714,1,0,0.571429,1,0,0.47619,1,0,0.190476,0
36,46,2,0.333333,0,0,0.285714,1,0,0.571429,1,0.219344,0.47619,1,0.042825,0.190476,0
38,57,2,0.333333,0,0,0.285714,1,0,0.571429,1,0,0.47619,1,0,0.190476,0
42,50,2,0.333333,0,0,0.285714,1,0,0.571429,1,0,0.47619,1,0.013782,0.190476,0
44,44,2,0.333333,0,0,0.285714,1,0.040892,0.571429,1,0,0.47619,1,0,0.190476,0
